Page,Product Name,Price
1,HP Stream 14 inch Win 11 Laptop Intel Processor N150 4GB 128GB eMMC Pink (12-mo. Microsoft 365 included),"Now$17900
current price Now $179.00, Was $229.00
$229.00"
1,HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$14900
current price Now $149.00, Was $229.00
$229.00"
1,Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Moonstone Purple,"Now$15900
current price Now $159.00, Was $229.00
$229.00
Options from $91.00"
1,"HP 14 AI Copilot Laptop, 4-Core Intel CPU, 8GB RAM, 128GB Storage, 1-Yr Office 365, Win 11S, Rose","Now$24895
current price Now $248.95, Was $389.00
$389.00
Options from $219.97"
1,"ASUS Vivobook Go 15.6” Laptop, Intel i3-N305, 8GB, 256GB, Windows 11 Home in S mode, Cool Silver, E1504GA-WS35","$26900
current price $269.00"
1,HP Omnibook 5 16 inch Windows 11 Laptop AMD Ryzen 7 AI PC 16GB RAM 512GB SSD Glacier Silver,"$54900
current price $549.00"
1,HP 15.6 inch FHD IPS Touch Windows Laptop AMD Ryzen 5 7520U 8GB 1TB SSD Natural Silver,"Now$35900
current price Now $359.00, Was $699.00
$699.00"
1,"SGIN 15.6"" Laptop Windows 11, 16GB DDR4 1024GB SSD Laptops Computer - 4 Core Intel Celeron, 1920*1080 FHD IPS Screen, Wifi 6, BT 5.2","Now$35999
current price Now $359.99, Was $718.99
$718.99"
1,HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$14900
current price Now $149.00, Was $229.00
$229.00
Options from $135.00"
1,Open Box HP 14 inch HD Windows Laptop Intel Processor N150 4GB RAM 128GB UFS Tranquil Pink,"$14100
current price $141.00"
1,HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$14900
current price Now $149.00, Was $229.00
$229.00
Options from $135.00"
2,HP Stream 14 inch Win 11 Laptop Intel Processor N150 4GB 128GB eMMC Pink (12-mo. Microsoft 365 included),"Now$17900
current price Now $179.00, Was $229.00
$229.00"
2,HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$14900
current price Now $149.00, Was $229.00
$229.00"
2,Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Moonstone Purple,"Now$15900
current price Now $159.00, Was $229.00
$229.00
Options from $91.00"
2,"HP 14 AI Copilot Laptop, 4-Core Intel CPU, 8GB RAM, 128GB Storage, 1-Yr Office 365, Win 11S, Rose","Now$24895
current price Now $248.95, Was $389.00
$389.00
Options from $219.97"
2,"SGIN 15.6"" Laptop Windows 11, 16GB DDR4 1024GB SSD Laptops Computer - 4 Core Intel Celeron, 1920*1080 FHD IPS Screen, Wifi 6, BT 5.2","Now$35999
current price Now $359.99, Was $718.99
$718.99"
2,"ASUS Vivobook Go 15.6” Laptop, Intel i3-N305, 8GB, 256GB, Windows 11 Home in S mode, Cool Silver, E1504GA-WS35","$26900
current price $269.00"
2,"Jumper 16in 2 in 1 Laptop Touchscreen Windows 11, 16GB DDR4 640GB ROM Laptops Convertible Tablet Computer, 4-Core Intel Celeron Processor, 360° Flip, 1yr Office 365 Free","Now$39969
current price Now $399.69, Was $798.99
$798.99"
2,"HP 14"" Ultra Thin Laptop, Intel Quad-Core Processor, 4GB RAM, 256GB (128GB eMMC+128GB SD Card), Windows 11 Home, 1 Year Microsoft Office 365, Lightweight Notebook for Work or School, Gift Set(Pink)","$26679
current price $266.79"
2,"ASUS Vivobook S 14 Copilot+ PC 14"" WUXGA OLED Windows Laptop Intel Core Ultra 7 Series 2 258V AI PC Intel Evo 32GB RAM 1TB SSD Black","$89900
current price $899.00"
2,"Dell 14"" laptop, AMD Ryzen AI 5, AMD Radeon Graphics, 16 GB, DDR5, 512GB SSD, Windows 11 Home","Now$49900
current price Now $499.00, Was $749.99
$749.99"
2,"16"" Laptop Computer,Intel Core i5,16GB RAM 512GB SSD,Windows 11 Pro Notebook PC,MS Office 365,100% sRGB Color Gamut FHD Display,Dual Band Wi-Fi,Webcam","Now$33939
current price Now $339.39, Was $399.00
$399.00"
2,"ASUS ROG Strix G17 (2023) 17.3 QHD 240Hz Gaming Laptop, AMD Ryzen 9-7845HX, NVIDIA GeForce RTX 4060, 16GB DDR5 RAM, 1TB SSD, Windows 11, G713PV-WS94","$1,59900
current price $1,599.00"
2,"Exsurf 16"" Home Laptop, Windows 11 Pro Computer,AMD Ryzen 7430U , 16GB RAM 512GB SSD, Backlit Keyboard, Fingerprint Unlock","$36938
current price $369.38"
2,HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$14900
current price Now $149.00, Was $229.00
$229.00
Options from $135.00"
2,HP 15.6 inch FHD IPS Touch Windows 11 Laptop AMD Ryzen 7 7730U 16GB RAM 512GB SSD Natural Silver,"$44900
current price $449.00"
2,"ASUS Vivobook 16 Laptop, Intel Core i9-13900H, 16GB, 1TB, Windows 11 Home, Cool Silver, F1605VA-WS96","Now$71900
current price Now $719.00, Was $849.99
$849.99"
2,HP 15.6 inch FHD IPS Touch Windows 11 Laptop Intel Core i3-N305 8GB 256GB SSD Cozy Cashmere,"$32900
current price $329.00
Options from $265.00"
2,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16 WUXGA 165Hz/3ms AMD Ryzen 9 9955HX, NVIDIA GeForce RTX 5060 8GB VRAM 16GB DDR5-5600 RAM 1TB PCIe Gen 4 SSD Eclipse Gray","Now$1,39900
current price Now $1,399.00, Was $1,599.99
$1,599.99"
2,HP 15.6 inch Windows 11 Touch Laptop Intel Core i5-1334U 8GB RAM 512GB SSD Natural Silver,"$42993
current price $429.93"
2,"ASUS TUF Gaming A16 Gaming Laptop, 16 WUXGA 144Hz, AMD Ryzen 7 7445HS, NVIDIA GeForce RTX 4050, 16GB DDR5, 512GB PCIe SSD Mecha Gray - 3 Months of Microsoft 365 Personal included","Now$69900
current price Now $699.00, Was $999.99
$999.99"
