Product Name,Price
HP Stream 14 inch Win 11 Laptop Intel Processor N150 4GB 128GB eMMC Pink (12-mo. Microsoft 365 included),"Now$17900
current price Now $179.00, Was $229.00
$229.00"
HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$13900
current price Now $139.00, Was $229.00
$229.00"
HP 15.6 inch FHD IPS Touch Windows Laptop AMD Ryzen 5 7520U 8GB 1TB SSD Natural Silver,"Now$35900
current price Now $359.00, Was $699.00
$699.00"
Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Moonstone Purple,"Now$15900
current price Now $159.00, Was $229.00
$229.00
Options from $91.00"
HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$13900
current price Now $139.00, Was $229.00
$229.00
Options from $135.00"
HP Omnibook 5 16 inch Windows 11 Laptop AMD Ryzen 7 AI PC 16GB RAM 512GB SSD Glacier Silver,"$54900
current price $549.00"
HP 15.6 inch FHD IPS Touch Windows Laptop AMD Ryzen 5 7520U 8GB 1TB SSD Natural Silver,"Now$35900
current price Now $359.00, Was $699.00
$699.00"
"ASUS Vivobook Go 15.6” Laptop, Intel i3-N305, 8GB, 256GB, Windows 11 Home in S mode, Cool Silver, E1504GA-WS35","$26900
current price $269.00"
"HP 14 AI Copilot Laptop, 4-Core Intel CPU, 8GB RAM, 128GB Storage, 1-Yr Office 365, Win 11S, Rose","Now$24895
current price Now $248.95, Was $389.00
$389.00
Options from $219.97"
HP Victus 15.6 inch FHD 144Hz IPS Win 11 Gaming Laptop Intel Core i5-13420H 16GB RAM 512GB SSD RTX 4050 Mica Silver,"$64900
current price $649.00
Options from $649.00 – $1,099.99"
HP 14 inch HD Windows Laptop AMD Athlon 7120 4GB RAM 128GB SSD Moonlight Blue,"Now$13900
current price Now $139.00, Was $229.00
$229.00
Options from $135.00"
HP Omnibook 5 16 inch Touch Windows 11 Laptop Intel Core Ultra 7 AI PC 16GB RAM 1TB SSD Silver,"$64999
current price $649.99
Options from $649.99 – $749.00"
ASUS CX15 15.6 inch FHD IPS Chromebook Laptop Intel Celeron N4500 4GB RAM 128GB eMMC Fabric Blue,"$15900
current price $159.00"
HP Chromebook x360 14 inch FHD IPS Touch 2-in-1 Laptop Intel Processor N100 4GB RAM 64GB eMMC - Sky Blue,"Now$21900
current price Now $219.00, Was $299.00
$299.00
Options from $181.00"
HP Stream 14 inch Win 11 Laptop Intel Processor N150 4GB 128GB eMMC Pink (12-mo. Microsoft 365 included),"Now$17900
current price Now $179.00, Was $229.00
$229.00
Options from $105.00"
"ASUS Vivobook Go 15.6” Laptop, Intel i3-N305, 8GB, 256GB, Windows 11 Home in S mode, Cool Silver, E1504GA-WS35","$26900
current price $269.00"
"Lenovo IdeaPad Slim 3i 15.6"" Laptop, Intel Processor N100, 4GB RAM, 128 SSD, Arctic Grey","Now$13900
current price Now $139.00, Was $319.99
$319.99"
"ASUS Chromebook CX1, 15.6"" FHD, Intel Celeron N4500, 128GB eMMC, 4GB RAM, ChromeOS, Pure Gray","$15900
current price $159.00"
HP 14 inch Windows Laptop Intel Celeron N4120 4GB RAM 64GB eMMC Silver (12-mo. Microsoft 365 Included),"$17797
current price $177.97
Options from $177.97 – $194.99"
"RNRUO 15.6"" Pink Laptop Computer, 8GB RAM 256GB SSD, Intel Pentium Gold 6500Y With 2 Cores, up to 3.4GHz, FHD Display, Office 2024, WiFi5 BT5.0, PC Laptop for Business, Student, Office","Now$19969
current price Now $199.69, Was $469.00
$469.00
Options from $199.69 – $259.39"
"RNRUO 15.6"" Windows 11 Laptop, Dual 8GB RAM, 256GB SSD, AMD 3020e with 2 Cores up to 2.6GHz, With Office 2024, 1920x1080 Display WiFi5 BT5.0 for Student, Home Office, Business","Now$19969
current price Now $199.69, Was $489.00
$489.00
Options from $199.69 – $249.09"
HP Chromebook x360 14 inch FHD IPS Touch 2-in-1 Laptop Intel Processor N100 4GB RAM 64GB eMMC - Sky Blue,"Now$21900
current price Now $219.00, Was $299.00
$299.00
Options from $181.00"
"Exsurf 15.6"" Windows 11 Pro Laptop, Intel 3050E CPU, 32GB RAM 1TB SSD,Type-C Port, Pink Home Computer","Now$39999
current price Now $399.99, Was $599.99
$599.99
Options from $379.99"
"RNRUO 15.6"" Laptop Computer, 16GB RAM 256GB SSD, Intel Pentium Gold 6500Y with 2 Cores Up to 3.4GHz, FHD Display, Office 2024, WiFi5 BT5.0, Windows 11 Laptop for Business, Student, Office, Dark Gray","Now$22989
current price Now $229.89, Was $509.00
$509.00
Options from $196.99"
HP 15.6 inch Win 11 Laptop Intel Processor N200 4GB RAM 128GB UFS Moonlight Blue (12-mo. Microsoft 365 included),"Now$21900
current price Now $219.00, Was $269.99
$269.99
Options from $149.00"
"RNRUO 15.6"" Windows 11 Laptop, 32GB RAM 512GB SSD, Intel Pentium Gold 6500Y up to 3.4GHz With Office 2024 1920*1080 IPS FHD Display for Student, Home Office, Business, Dard Gray","Now$27999
current price Now $279.99, Was $552.00
$552.00
Options from $259.99"
"Windows 11 Pro Laptop 15.6inch, 12GB RAM 512GB SSD, 12th Gen Intel N100 Processor, 1920x1080, Webacm","Now$28999
current price Now $289.99, Was $549.99
$549.99"
HP 15.6 inch Windows 11 Laptop intel Core i3-N305 8GB RAM 256GB SSD Natural Silver,"$31498
current price $314.98
Options from $201.00"
HP 14 inch HD Chromebook Laptop Intel Processor N200 4GB RAM 128GB UFS Glacier Silver,"$17595
current price $175.95
Options from $109.00"
HP 15.6 inch Windows 11 Laptop intel Core i7-1355U 16GB RAM 1TB SSD Natural Silver,"$63497
current price $634.97
Options from $427.97"
"ASUS Vivobook 15.6” FHD Laptop with Intel i5-1334U, Intel UHD Graphics, 8GB RAM, 512GB SSD, Cool Silver","$39900
current price $399.00
Options from $399.00 – $459.00"
"RNRUO 15.6"" Laptop Computer, 16GB RAM 256GB SSD, Intel Pentium Gold 6500Y with 2 Cores Up to 3.4GHz, FHD Display, Office 2024, WiFi5 BT5.0, Windows 11 Laptop for Business, Student, Office, Dark Gray","Now$22989
current price Now $229.89, Was $509.00
$509.00
Options from $196.99"
"15.6"" Laptop Computer,8GB RAM 256GB SSD,Windows 11 Pro Bussiness NoteBook PC,MS Office 365,Intel Celeron N4000(up to 2.6GHz) 100% sRGB Screen,2.4G/5G Dual Band WiFi","Now$21939
current price Now $219.39, Was $299.00
$299.00"
"RNRUO 15.6"" Windonws 11 Laptop, 12GB DDR5 512G SSD, Up to 3.6GHz Intel N150 Quad-Core, Office 2024 WiFi 6 BT 5.2, 1080 FHD Display for Student, Business, Home Office, Pink","$28999
current price $289.99"
MSI Thin 15.6 inch FHD 144Hz Gaming Laptop Intel Core i5-13420H NVIDIA GeForce RTX 4050 - 16GB DDR4 512GB SSD Gray (2025),"Now$59900
current price Now $599.00, Was $899.99
$899.99
+$98.90 shipping"
